排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
102,1802,台玻,0.1264%,556,2420,新巨,0.0122%
103,1434,福懋,0.1251%,557,2426,鼎元,0.0122%
104,2383,台光電,0.1227%,558,3583,辛耘,0.0122%
105,2376,技嘉,0.1209%,559,6672,騰輝電子-KY,0.0121%
106,2371,大同,0.1193%,560,6666,羅麗芬-KY,0.0121%
107,2027,大成鋼,0.1129%,561,6283,淳安,0.0121%
108,2923,鼎固-KY,0.1123%,562,2712,遠雄來,0.0121%
109,2352,佳世達,0.1119%,563,1437,勤益控,0.0121%
110,3533,嘉澤,0.1115%,564,2012,春雨,0.012%
111,6213,聯茂,0.1105%,565,6112,聚碩,0.012%
112,3023,信邦,0.1099%,566,1762,中化生,0.0119%
113,2812,台中銀,0.1096%,567,1338,廣華-KY,0.0119%
114,3443,創意,0.1071%,568,3029,零壹,0.0119%
115,2404,漢唐,0.1055%,569,2459,敦吉,0.0118%
116,2449,京元電子,0.1048%,570,2466,冠西電,0.0118%
117,1717,長興,0.1045%,571,2509,全坤建,0.0118%
118,2809,京城銀,0.1037%,572,1460,宏遠,0.0118%
119,6592,和潤企業,0.1028%,573,6558,興能高,0.0118%
120,6269,台郡,0.1008%,574,8996,高力,0.0118%
121,2448,晶電,0.1002%,575,8480,泰昇-KY,0.0117%
122,3661,世芯-KY,0.1%,576,8481,政伸,0.0117%
123,3189,景碩,0.099%,577,3622,洋華,0.0117%
124,5522,遠雄,0.0988%,578,1108,幸福,0.0117%
125,1477,聚陽,0.0982%,579,2233,宇隆,0.0116%
126,2458,義隆,0.0972%,580,2369,菱生,0.0116%
127,9917,中保科,0.0969%,581,2241,艾姆勒,0.0114%
128,3576,聯合再生,0.0959%,582,5533,皇鼎,0.0114%
129,1907,永豐餘,0.0957%,583,6449,鈺邦,0.0113%
130,2915,潤泰全,0.0952%,584,4540,全球傳動,0.0113%
131,6456,GIS-KY,0.0933%,585,8427,基勝-KY,0.0113%
132,1210,大成,0.0929%,586,3032,偉訓,0.0113%
133,2845,遠東銀,0.0894%,587,2636,台驊投控,0.0113%
134,2101,南港,0.0877%,588,3028,增你強,0.0112%
135,5264,鎧勝-KY,0.0871%,589,9931,欣高,0.0112%
136,6278,台表科,0.0864%,590,2506,太設,0.0111%
137,3706,神達,0.0862%,591,2528,皇普,0.011%
138,1904,正隆,0.0854%,592,1730,花仙子,0.011%
139,2889,國票金,0.0842%,593,1457,宜進,0.011%
140,2903,遠百,0.0837%,594,4764,雙鍵,0.011%
141,2015,豐興,0.0825%,595,3694,海華,0.011%
142,2456,奇力新,0.082%,596,3416,融程電,0.0108%
143,6531,愛普,0.0819%,597,2816,旺旺保,0.0108%
144,3653,健策,0.0818%,598,2616,山隆,0.0107%
145,9941,裕融,0.0817%,599,2007,燁興,0.0107%
146,2106,建大,0.0815%,600,4952,凌通,0.0107%
147,2006,東和鋼鐵,0.0813%,601,6197,佳必琪,0.0107%
148,6285,啟碁,0.0796%,602,2457,飛宏,0.0106%
149,2838,聯邦銀,0.0779%,603,1521,大億,0.0104%
150,3665,貿聯-KY,0.0775%,604,1535,中宇,0.0104%
151,6116,彩晶,0.0763%,605,4737,華廣,0.0104%
152,3036,文曄,0.0762%,606,4552,力達-KY,0.0104%
153,2441,超豐,0.0758%,607,5907,大洋-KY,0.0103%
154,2108,南帝,0.0732%,608,2109,華豐,0.0103%
155,1314,中石化,0.0724%,609,1446,宏和,0.0102%
156,9933,中鼎,0.0724%,610,3209,全科,0.0102%
157,2206,三陽工業,0.0722%,611,8466,美吉吉-KY,0.0102%
158,2439,美律,0.0716%,612,2115,六暉-KY,0.0101%
159,2059,川湖,0.0692%,613,1217,愛之味,0.0099%
160,2368,金像電,0.0683%,614,2414,精技,0.0099%
161,3005,神基,0.0682%,615,2705,六福,0.0098%
162,2451,創見,0.0671%,616,6655,科定,0.0098%
163,3376,新日興,0.0671%,617,4108,懷特,0.0097%
164,4142,國光生,0.0668%,618,2852,第一保,0.0097%
165,9958,世紀鋼,0.0666%,619,2486,一詮,0.0097%
166,2609,陽明,0.0663%,620,1541,錩泰,0.0097%
167,3682,亞太電,0.0659%,621,2062,橋椿,0.0097%
168,2634,漢翔,0.0655%,622,2020,美亞,0.0097%
169,2204,中華,0.0646%,623,1786,科妍,0.0095%
170,2606,裕民,0.0643%,624,2374,佳能,0.0095%
171,2231,為升,0.0636%,625,6668,中揚光,0.0095%
172,1503,士電,0.0635%,626,3605,宏致,0.0094%
173,6412,群電,0.0634%,627,1436,華友聯,0.0094%
174,3017,奇鋐,0.0632%,628,2493,揚博,0.0093%
175,6005,群益證,0.0631%,629,4133,亞諾法,0.0093%
176,2723,美食-KY,0.0623%,630,8021,尖點,0.0092%
177,2498,宏達電,0.0621%,631,8271,宇瞻,0.0092%
178,1507,永大,0.061%,632,1611,中電,0.0092%
179,1536,和大,0.0605%,633,1810,和成,0.0091%
180,1736,喬山,0.0604%,634,6141,柏承,0.0091%
181,8341,日友,0.0604%,635,4526,東台,0.0091%
182,1440,南紡,0.06%,636,2484,希華,0.0089%
183,3042,晶技,0.06%,637,2476,鉅祥,0.0089%
184,1707,葡萄王,0.0597%,638,1626,艾美特-KY,0.0088%
185,1513,中興電,0.0595%,639,6128,上福,0.0088%
186,2388,威盛,0.0595%,640,8261,富鼎,0.0088%
187,2501,國建,0.0591%,641,8104,錸寶,0.0086%
188,2548,華固,0.0591%,642,4999,鑫禾,0.0086%
189,1909,榮成,0.059%,643,9906,欣巴巴,0.0086%
190,1723,中碳,0.0588%,644,4571,鈞興-KY,0.0085%
191,5534,長虹,0.0584%,645,5519,隆大,0.0085%
192,5469,瀚宇博,0.0574%,646,6205,詮欣,0.0085%
193,1304,台聚,0.0573%,647,3167,大量,0.0085%
194,1319,東陽,0.0572%,648,3055,蔚華科,0.0084%
195,1789,神隆,0.0567%,649,2495,普安,0.0084%
196,1313,聯成,0.0565%,650,1517,利奇,0.0084%
197,2849,安泰銀,0.0564%,651,2017,官田鋼,0.0084%
198,2023,燁輝,0.0561%,652,2030,彰源,0.0083%
199,8150,南茂,0.0561%,653,1414,東和,0.0083%
200,8926,台汽電,0.0559%,654,2423,固緯,0.0083%
201,2104,國際中橡,0.0553%,655,2405,浩鑫,0.0082%
202,6214,精誠,0.0551%,656,5515,建國,0.0082%
203,1808,潤隆,0.0549%,657,3437,榮創,0.0081%
204,9802,鈺齊-KY,0.0546%,658,2497,怡利電,0.0081%
205,9940,信義,0.0546%,659,1451,年興,0.0081%
206,6670,復盛應用,0.0543%,660,1618,合機,0.0081%
207,9938,百和,0.0541%,661,1533,車王電,0.008%
208,2855,統一證,0.0536%,662,2390,云辰,0.008%
209,5434,崇越,0.0535%,663,3305,昇貿,0.008%
210,2392,正崴,0.0532%,664,3024,憶聲,0.008%
211,2867,三商壽,0.0527%,665,6108,競國,0.008%
212,6414,樺漢,0.052%,666,4555,氣立,0.0079%
213,1312,國喬,0.0514%,667,1233,天仁,0.0079%
214,4968,立積,0.0513%,668,2302,麗正,0.0079%
215,4915,致伸,0.051%,669,2642,宅配通,0.0078%
216,6196,帆宣,0.0508%,670,2748,雲品,0.0078%
217,6153,嘉聯益,0.0502%,671,2399,映泰,0.0078%
218,6230,超眾,0.05%,672,2462,良得電,0.0078%
219,3019,亞光,0.0498%,673,6201,亞弘電,0.0078%
220,2362,藍天,0.0496%,674,3346,麗清,0.0077%
221,2373,震旦行,0.0495%,675,2430,燦坤,0.0077%
222,4551,智伸科,0.0494%,676,2359,所羅門,0.0077%
223,1409,新纖,0.0492%,677,1339,昭輝,0.0077%
224,3703,欣陸,0.0491%,678,1467,南緯,0.0077%
225,3596,智易,0.0489%,679,2537,聯上發,0.0076%
