排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
445,1760,寶齡富錦,0.018%,899,1516,川飛,0.0017%
446,2329,華泰,0.0178%,900,2243,宏旭-KY,0.0016%
447,2433,互盛電,0.0178%,901,2482,連宇,0.0016%
448,1464,得力,0.0177%,902,2438,翔耀,0.0015%
449,6715,嘉基,0.0177%,903,3046,建碁,0.0014%
450,6192,巨路,0.0176%,904,8201,無敵,0.0014%
451,2832,台產,0.0176%,905,2424,隴華,0.0013%
452,5288,豐祥-KY,0.0175%,906,2429,銘旺科,0.0012%
453,3033,威健,0.0174%,907,9912,偉聯,0.001%
454,2480,敦陽科,0.0174%,,,,
