,Portfolio,TWII
2011-04-19,993.1228499951344,979.8496261914038
2011-04-20,1011.8302139380503,996.2305495305795
2011-04-21,1010.6093544218049,997.5455529102102
2011-04-22,1003.7513594376336,995.4629504148761
2011-04-25,1003.4123783359903,995.1713143792671
2011-04-26,1013.8700882132497,1006.4709510320549
2011-04-27,1016.2641976478262,1005.533801559304
2011-04-28,1024.7796917366834,1001.8947822506497
2011-04-29,1021.7682917009566,995.0351954650545
2011-05-03,1010.3384233641199,995.1771052122019
2011-05-04,1023.6279896555839,1003.141587404619
2011-05-05,997.6452221872977,998.5532934718373
2011-05-06,995.9941183996681,1005.0419556095234
2011-05-09,1009.2389446360255,1003.691696463093
2011-05-10,1017.7307683827929,1003.3725338833632
2011-05-11,1024.0449921316958,1004.8446798170012
2011-05-12,1023.173611882926,1001.8481782398894
2011-05-13,1014.2866611565256,991.3113906166952
2011-05-16,1022.1010854236274,988.2120729531268
2011-05-17,1033.7686983754966,995.0501653311293
2011-05-18,1026.5225195624885,989.241212379423
2011-05-19,1018.7466451459449,982.9610374451057
2011-05-20,1015.9739897077749,972.8308430807247
2011-05-23,1015.6403013165593,973.8712099632758
2011-05-24,1011.9827405797752,970.4999720903195
2011-05-25,1016.8191466972424,977.5253120805417
2011-05-26,1037.4144529137693,979.9830617983249
2011-05-27,1033.0714101702886,981.5358129379199
2011-05-30,1054.1548978521419,1000.2536028789464
2011-05-31,1061.9874397772198,1008.4314169093735
2011-06-01,1045.1336446283929,1000.5980677172402
2011-06-02,1072.1915743128343,1006.7061673301592
2011-06-03,1074.7261712128552,1007.9020620797625
2011-06-07,1059.720677850275,1002.4291680436298
2011-06-08,1064.7494873394169,1001.6975726072328
2011-06-09,1043.4471555572293,983.5750504526193
2011-06-10,1031.1548176034592,969.4459362474269
2011-06-13,1054.2582526903873,982.7893151294478
2011-06-14,1063.5530063035726,983.0430459345575
2011-06-15,1031.4158302779101,962.9986421435822
2011-06-16,1051.822704147334,960.8806347135173
2011-06-17,1045.8501898026464,948.6736987087327
2011-06-20,1057.6223992922019,956.5207501774547
2011-06-21,1040.167765527085,959.2447609317428
2011-06-22,1024.1806398492438,953.0088582630257
2011-06-23,1027.3825717496704,948.9877075826662
2011-06-24,1018.40716563253,945.1589608523053
2011-06-27,1007.8581647661456,942.6531391913032
2011-06-28,1043.3140543324607,953.800850862838
2011-06-29,1043.3140543324607,962.5773185766878
2011-06-30,1043.3140543324607,972.153979301214
2011-07-01,1043.3140543324607,975.9471957800496
2011-07-04,1043.3140543324607,976.9995365996486
2011-07-05,1043.3140543324607,981.3250521532663
2011-07-06,1043.3140543324607,975.8328111933902
2011-07-07,1043.3140543324607,973.24830471337
2011-07-08,1043.3140543324607,964.161048796631
2011-07-11,1043.3140543324607,944.9954994347484
2011-07-12,1043.3140543324607,944.6654465962736
2011-07-13,1043.3140543324607,943.9145093989536
2011-07-14,1043.3140543324607,954.3935091905739
2011-07-15,1043.3140543324607,950.3677712104756
2011-07-18,1043.3140543324607,948.8102466230895
2011-07-19,1043.3140543324607,969.0467022963209
2011-07-20,1043.3140543324607,970.2436100106221
2011-07-21,1043.3140543324607,975.493990520448
2011-07-22,1043.3140543324607,966.6278727304687
2011-07-25,1043.3140543324607,978.7412110945409
2011-07-26,1043.3140543324607,981.2526153107245
2011-07-27,1043.3140543324607,975.8347404665346
2011-07-28,1043.3140543324607,962.5054023772099
2011-07-29,1043.3140543324607,968.7912773746353
2011-08-01,1043.3140543324607,956.055471570194
2011-08-02,1043.3140543324607,941.9073597998439
2011-08-03,1043.3140543324607,926.2275875315162
2011-08-04,1043.3140543324607,873.2176018139364
2011-08-05,1043.3140543324607,836.8891676453168
2011-08-08,1043.3140543324607,829.3832548846883
2011-08-09,1043.3140543324607,860.2144683093246
2011-08-10,1043.3140543324607,858.0988253237462
2011-08-11,1043.3140543324607,847.9991032306001
2011-08-12,1043.3140543324607,870.6832151768376
2011-08-15,1043.3140543324607,868.1563122096896
2011-08-16,1043.3140543324607,861.233952339272
2011-08-17,1043.3140543324607,845.676596543962
2011-08-18,1043.3140543324607,811.7447459440644
2011-08-19,1043.3140543324607,807.8158787463974
2011-08-22,1043.3140543324607,838.6860360394145
2011-08-23,1043.3140543324607,832.7351415129058
2011-08-24,1043.3140543324607,821.0796028677054
2011-08-25,1043.3140543324607,825.4672276009028
2011-08-26,1043.3140543324607,842.4252365431312
2011-08-29,1043.3140543324607,850.9718685024042
2011-08-30,1043.3140543324607,862.7953850172022
