,Portfolio,TWII
2011-11-09,1043.3140539357223,814.9212186536316
2011-11-10,1043.3140539357223,822.5389175055005
2011-11-11,1043.3140539357223,842.9576155847972
2011-11-14,1043.3140539357223,838.5915476540314
2011-11-15,1043.3140539357223,825.4617795849204
2011-11-16,1043.3140539357223,825.4990745198328
2011-11-17,1043.314053935722,805.6937929957401
2011-11-18,1043.314053935722,780.5937648725309
2011-11-21,1043.314053935722,774.84636238918
2011-11-22,1043.314053935722,748.5741534208065
2011-11-23,1043.314053935722,756.6632633458145
2011-11-24,1043.3140539357223,745.6104103011011
2011-11-25,1043.3140539357223,761.6084309365558
2011-11-28,1043.3140539357223,773.9831415183651
2011-11-29,1043.3140539357223,762.4934469519571
2011-11-30,1043.3140539357223,800.2710303907826
2011-12-01,1043.3140539357223,795.2413954263576
2011-12-02,1043.3140539357223,789.5743321253382
2011-12-05,1043.314053935722,770.5973675532625
2011-12-06,1043.3140539357223,781.0740741195342
2011-12-07,1043.3140539357223,774.3071711603277
2011-12-08,1043.3140539357223,762.1182667436908
2011-12-09,1043.3140539357223,769.799547675366
2011-12-12,1043.3140539357223,762.59138118311
2011-12-13,1043.314053935722,766.2085276240933
2011-12-14,1043.314053935722,744.5301523595538
2011-12-15,1043.314053935722,747.4089056592604
2011-12-16,1043.314053935722,726.1621952235852
2011-12-19,1043.314053935722,730.3595640809738
2011-12-20,1043.3140539357223,773.6796909583189
2011-12-21,1043.3140539357223,773.6619804796302
2011-12-22,1043.3140539357223,793.3495420201176
2011-12-23,1043.3140539357223,790.9248749667056
2011-12-26,1043.3140539357223,789.9136411935515
2011-12-27,1043.3140539357223,786.1113358771918
2011-12-28,1043.3140539357223,788.554577830834
2011-12-29,1043.3140539357223,788.1867141463235
2011-12-30,1043.3140539357223,772.0856068172102
2012-01-02,1043.3140539357223,785.9091873555622
2012-01-03,1043.3140539357223,789.8942704912652
2012-01-04,1043.3140539357223,796.3169140068526
2012-01-05,1043.3140539357223,794.9381352710742
2012-01-06,1043.3140539357223,791.2735269473848
2012-01-09,1043.3140539357223,802.7681349435285
2012-01-10,1043.3140539357223,804.0040128385726
2012-01-11,1043.3140539357223,803.7886217785434
2012-01-12,1043.3140539357223,803.1224232315069
2012-01-13,1043.3140539357223,792.8157732284418
2012-01-16,1043.3140539357223,808.522964067874
2012-01-17,1043.3140539357223,810.1817878640135
2012-01-18,1043.3140539357223,832.9947292506458
2012-01-30,1043.3140539357223,847.0588062383238
2012-01-31,1043.3140539357223,851.1189872558375
2012-02-01,1043.3140539357223,864.1111247755806
2012-02-02,1043.3140539357223,866.9078991196933
2012-02-03,1043.3140539357223,868.5156355630141
2012-02-06,1043.3140539357223,870.9201187423362
2012-02-07,1043.3140539357223,890.9442191289127
2012-02-08,1043.3140539357223,895.8772947207605
2012-02-09,1043.3140539357223,890.0522727569623
2012-02-10,1043.3140539357223,896.1706291040203
2012-02-13,1043.3140539357223,892.7096287673548
2012-02-14,1043.3140539357223,907.3078220964835
2012-02-15,1043.3140539357223,891.2242625145755
2012-02-16,1043.3140539357223,894.2008076791349
2012-02-17,1043.3140539357223,901.4759752905624
2012-02-20,1043.3140539357223,897.4970626643544
2012-02-21,1043.3140539357223,907.1120560084042
2012-02-22,1043.3140539357223,899.4691053102667
2012-02-23,1043.3140539357223,902.1068431355968
2012-02-24,1043.3140539357223,921.4531007818778
2012-02-29,1043.3140539357223,921.0904952893625
2012-03-01,1043.3140539357223,924.0976878440468
2012-03-02,1043.3140539357223,907.8495856007481
2012-03-05,1043.3140539357223,899.9259745542232
2012-03-06,1043.3140539357223,895.7506978916233
2012-03-07,1043.3140539357223,905.544334606722
2012-03-08,1043.3140539357223,909.2859373979381
2012-03-09,1043.3140539357223,898.8031163860993
2012-03-12,1043.3140539357223,911.2602218891764
2012-03-13,1043.3140539357223,922.3485519153525
2012-03-14,1043.3140539357223,921.923037554848
2012-03-15,1043.3140539357223,914.123908538952
2012-03-16,1043.3140539357223,912.8243013301449
2012-03-19,1043.3140539357223,904.4138046788433
2012-03-20,1043.3140539357223,905.5146434001063
2012-03-21,1043.3140539357223,914.797426784418
2012-03-22,1043.3140539357223,916.7621157763654
2012-03-23,1043.3140539357223,903.943337380172
2012-03-26,1043.3140539357223,911.3160682436309
2012-03-27,1043.3140539357223,912.3346642701779
2012-03-28,1043.3140539357223,892.786831774874
2012-03-29,1043.3140539357223,900.0674993294128
2012-03-30,1043.3140539357223,891.6734755260269
2012-04-02,1043.3140539357223,879.3447746544047
2012-04-03,1043.3140539357223,864.5306250202476
2012-04-05,1043.3140539357223,872.7917303126898
2012-04-06,1043.3140539357223,859.8006182064257
2012-04-09,1043.3140539357223,864.7759442576368
2012-04-10,1043.3140539357223,866.7638765069651
2012-04-11,1043.3140539357223,867.5392878000375
2012-04-12,1043.3140539357223,883.0782645786607
2012-04-13,1043.3140539357223,875.9540109901556
2012-04-16,1043.3140539357223,858.2589542561564
2012-04-17,1043.3140539357223,860.6544695715754
2012-04-18,1043.3140539357223,862.8640978366554
2012-04-19,1043.3140539357223,848.4657513208036
2012-04-20,1043.3140539357223,845.1681943645989
2012-04-23,1043.3140539357223,847.4220469024488
2012-04-24,1043.3140539357223,855.5723664260455
2012-04-25,1043.3140539357223,850.3185945750072
2012-04-26,1043.3140539357223,845.1593735431951
2012-04-27,1043.3140539357223,847.8540781241113
2012-04-30,1043.3140539357223,870.0253024958859
2012-05-02,1043.3140539357223,867.887035955007
2012-05-03,1043.3140539357223,873.0239738441799
2012-05-04,1043.3140539357223,852.9336095249994
2012-05-07,1043.3140539357223,853.8950476819027
2012-05-08,1043.3140539357223,845.0828561726165
2012-05-09,1043.314053935722,846.13750394938
2012-05-10,1043.314053935722,835.6482131432032
2012-05-11,1043.314053935722,832.5435483080926
2012-05-14,1043.314053935722,834.9205660381494
2012-05-15,1043.314053935722,814.2319974331915
2012-05-16,1043.314053935722,830.277358302568
2012-05-17,1043.314053935722,803.7322915068763
2012-05-18,1043.314053935722,809.1837952091951
2012-05-21,1043.314053935722,820.1012684724185
2012-05-22,1043.314053935722,803.4998592055878
2012-05-23,1043.314053935722,800.4617995203845
2012-05-24,1043.314053935722,793.3609692857117
2012-05-25,1043.314053935722,802.0076649496509
2012-05-28,1043.314053935722,829.4684779480219
2012-05-29,1043.314053935722,819.0548106732124
2012-05-30,1043.314053935722,824.2480750416466
2012-05-31,1043.314053935722,798.8252482954541
2012-06-01,1043.314053935722,770.5617264119581
2012-06-04,1043.314053935722,785.1372424213098
2012-06-05,1043.314053935722,792.6954522010153
2012-06-06,1043.314053935722,795.9479360692999
2012-06-07,1043.314053935722,785.1262192265885
2012-06-08,1043.314053935722,801.4901534849804
2012-06-11,1043.314053935722,795.0664628900266
2012-06-12,1043.314053935722,797.3162787091936
2012-06-13,1043.314053935722,795.4764077519569
2012-06-14,1043.314053935722,806.3154683938044
2012-06-15,1530.6136014066785,822.9979239426203
2012-06-18,1540.766592033653,821.9059739741286
2012-06-19,1570.0495814957153,829.9383832675384
2012-06-20,1559.7370198746903,822.7400327102786
2012-06-21,1546.5112802435049,815.301479046586
2012-06-22,1527.9604475000406,807.9791647987583
2012-06-25,1489.8608721214546,804.2080478963085
2012-06-26,1517.14900660408,810.2072706256694
2012-06-27,1503.5050907045515,808.4351747077686
2012-06-28,1538.6921880287302,825.2181268587148
2012-06-29,1555.7468937259093,831.5820520712223
2012-07-02,1551.8374895014451,841.0487847620076
2012-07-03,1582.5367164652905,841.5904394295653
2012-07-04,1564.9826774678213,837.1355050103489
2012-07-05,1513.3191703228247,834.6680358191779
2012-07-06,1448.5097752556978,827.1096913851427
2012-07-09,1427.5446248592855,819.4933262006381
2012-07-10,1394.930489213674,820.3526976226622
2012-07-11,1384.617605991357,803.7334105788284
2012-07-12,1393.8532951446539,800.1820024590178
2012-07-13,1358.7456711750697,798.2792738351557
2012-07-16,1345.1016796046495,803.2311421714963
2012-07-17,1332.4549168878557,792.8415849347796
2012-07-18,1376.2998993497692,806.2527837806496
2012-07-19,1355.833647146016,808.3935925804109
2012-07-20,1301.6758382149542,790.368731308221
2012-07-23,1323.9770717205256,787.6143959495851
2012-07-24,1299.1026684414333,783.653808423316
2012-07-25,1290.366066658026,782.505046170235
2012-07-26,1280.1328648852575,803.464050499676
2012-07-27,1231.879542170774,808.0493316834599
2012-07-30,1160.2481891538832,822.8590782021196
2012-07-31,1095.518853890766,822.5284835538043
2012-08-01,1095.518853890766,822.5284835538043
2012-08-02,1112.0749829965782,815.9346469505008
2012-08-03,1109.661346381661,824.9923529431254
2012-08-06,1112.5740136132988,826.1826309695055
2012-08-07,1137.4483223037757,829.3518857928156
2012-08-08,1194.5184011942908,844.1333704514652
2012-08-09,1199.4252612850582,845.0815406743831
2012-08-10,1195.5157813897015,844.4661811893217
2012-08-13,1217.4774796017098,849.9527429638451
2012-08-14,1198.0087778528748,848.4909009429113
2012-08-15,1229.7855204870327,851.3491534885333
2012-08-16,1223.960602213664,848.5222638952679
2012-08-17,1206.75832856913,844.5323800264894
2012-08-20,1212.0483151250576,852.8715038253051
2012-08-21,1205.6374612091536,851.7438936616549
2012-08-22,1214.1198867019093,852.6920101213702
2012-08-23,1207.167727295909,849.6446816996078
2012-08-24,1222.6741461282575,848.6145064881849
2012-08-27,1198.7119260555455,836.8391202704894
2012-08-28,1207.3466190592967,840.1221766594273
2012-08-29,1202.3127530924387,837.9156286419081
2012-08-30,1227.6706108146536,840.791493105657
2012-08-31,1241.1407825281476,846.7726947854659
